PLAYER,SPIN_RATE_ROUNDS,SPIN_RATE_AVG,TOTAL SPIN SPEED,SPIN_RATE_TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE
Corey Conners,74,"3,088.7","568,313",184,"3,997","1,759"
Peter Uihlein,47,"2,994.6","443,201",148,"3,974","1,718"
Alex Noren,60,"2,981.2","974,841",327,"3,998","1,554"
Mark Hubbard,86,"2,943.6","1,215,724",413,"3,922","1,556"
Aaron Baddeley,49,"2,929.4","454,056",155,"3,800","1,586"
Roger Sloan,55,"2,920.1","864,351",296,"3,983","1,727"
Ben Martin,38,"2,918.6","332,723",114,"3,953","2,150"
Max Homa,70,"2,891.6","595,662",206,"3,944","1,527"
Rhein Gibson,54,"2,877.9","299,305",104,"3,921","1,785"
Adam Schenk,78,"2,871.4","493,884",172,"3,924","1,514"
Michael Gellerman,46,"2,865.9","232,135",81,"3,904","1,804"
Dylan Frittelli,82,"2,858.6","626,026",219,"3,919","1,553"
Robert Streb,54,"2,852.8","524,922",184,"3,679","1,544"
Pat Perez,59,"2,841.1","772,766",272,"3,863","1,644"
Nelson Ledesma,42,"2,826.8","220,490",78,"3,899","1,759"
Sergio Garcia,44,"2,817.9","276,151",98,"3,548","1,556"
Troy Merritt,72,"2,816.6","1,149,186",408,"3,899","1,539"
Patrick Reed,74,"2,813.9","621,875",221,"3,990","1,508"
Adam Hadwin,65,"2,811.7","1,313,057",467,"3,885","1,971"
Chris Baker,53,"2,799.5","344,338",123,"3,743","1,594"
Harris English,76,"2,794.5","681,852",244,"3,678","1,954"
Sam Ryder,74,"2,788.2","493,505",177,"3,750","1,531"
Rickie Fowler,44,"2,787.6","883,685",317,"3,851","1,668"
Sungjae Im,94,"2,785.0","1,679,355",603,"3,989","1,504"
Scott Harrington,68,"2,778.6","441,790",159,"3,867","1,534"
Kevin Na,71,"2,774.4","923,869",333,"3,938","1,502"
Cameron Champ,70,"2,772.7","438,081",158,"3,884","1,614"
Matt Jones,76,"2,757.7","1,276,811",463,"3,917","1,582"
Vincent Whaley,40,"2,757.4","377,770",137,"3,846","1,665"
Bubba Watson,66,"2,745.4","1,172,293",427,"3,991","1,525"
Kris Ventura,48,"2,738.5","347,791",127,"3,991","1,666"
Nick Watney,46,"2,736.6","325,656",119,"3,855","1,526"
Peter Malnati,61,"2,734.1","926,852",339,"3,955","1,552"
Will Gordon,36,"2,723.9","185,223",68,"3,678","1,628"
Adam Scott,38,"2,719.1","290,941",107,"3,645","1,548"
Carlos Ortiz,72,"2,713.3","1,031,045",380,"3,980","1,527"
Branden Grace,43,"2,708.2","696,010",257,"3,954","1,543"
Kevin Tway,52,"2,703.6","486,649",180,"3,744","1,950"
Stewart Cink,51,"2,703.5","451,487",167,"3,939","1,570"
Andrew Putnam,46,"2,701.7","251,256",93,"3,874","1,600"
Cameron Tringale,63,"2,699.4","523,685",194,"3,965","1,565"
Emiliano Grillo,69,"2,681.0","434,326",162,"3,536","1,521"
Kevin Kisner,73,"2,677.1","1,102,949",412,"3,903","1,646"
Cam Davis,62,"2,674.6","366,422",137,"3,478","1,531"
Sebastián Muñoz,84,"2,673.1","890,145",333,"3,843","1,534"
Chris Stroud,48,"2,669.7","750,195",281,"3,756","1,577"
Bud Cauley,65,"2,668.4","1,072,688",402,"3,903","1,513"
Michael Thompson,62,"2,662.3","569,723",214,"3,958","1,663"
Webb Simpson,52,"2,661.0","1,003,195",377,"3,991","1,947"
Kevin Streelman,73,"2,658.5","1,097,951",413,"3,800","1,515"
Charles Howell III,69,"2,657.2","895,460",337,"3,936","1,855"
Mackenzie Hughes,70,"2,656.2","632,165",238,"3,979","1,767"
Luke List,69,"2,655.2","483,240",182,"3,895","1,733"
Lanto Griffin,96,"2,653.8","777,551",293,"3,828","1,610"
Dominic Bozzelli,38,"2,653.7","352,945",133,"3,988","1,510"
Charley Hoffman,63,"2,651.1","962,360",363,"3,754","1,509"
Tony Finau,72,"2,648.4","513,787",194,"3,908","1,573"
Gary Woodland,62,"2,645.6","357,154",135,"3,960","1,653"
J.T. Poston,78,"2,642.6","1,165,365",441,"3,885","1,623"
Joseph Bramlett,57,"2,640.8","242,958",92,"3,676","1,540"
Michael Gligic,52,"2,639.5","356,329",135,"3,707","1,769"
Josh Teater,43,"2,634.2","532,106",202,"3,634","1,582"
Scottie Scheffler,82,"2,624.7","656,164",250,"3,805","1,715"
Jhonattan Vegas,52,"2,623.8","495,906",189,"3,892","1,618"
Matt Wallace,44,"2,618.2","856,153",327,"3,902","1,556"
Joel Dahmen,79,"2,612.2","1,274,760",488,"3,949","1,544"
Doc Redman,82,"2,611.2","647,589",248,"3,916","1,649"
Matt Fitzpatrick,54,"2,609.4","1,004,602",385,"3,785","1,595"
Sam Burns,60,"2,604.9","1,023,735",393,"3,858","1,640"
Xinjun Zhang,77,"2,602.1","567,247",218,"3,703","1,605"
Brooks Koepka,40,"2,601.6","325,202",125,"3,635","1,702"
Patton Kizzire,55,"2,599.9","376,986",145,"3,517","1,659"
Graeme McDowell,48,"2,597.0","573,941",221,"3,600","1,517"
Daniel Berger,64,"2,595.2","1,043,270",402,"3,881","1,543"
Talor Gooch,83,"2,590.7","528,499",204,"3,981","1,686"
Bill Haas,46,"2,584.5","279,124",108,"3,605","1,581"
Brandon Hagy,50,"2,581.0","276,170",107,"3,826","1,599"
Abraham Ancer,74,"2,578.9","1,116,668",433,"3,973","1,535"
Russell Henley,67,"2,576.4","523,011",203,"3,780","1,716"
Mark Anderson,51,"2,566.4","254,069",99,"3,322","1,757"
Tyler Duncan,83,"2,560.6","1,241,887",485,"3,890","1,699"
Nick Taylor,59,"2,560.5","896,163",350,"3,459","1,529"
Kyle Stanley,57,"2,558.9","388,952",152,"3,976","1,644"
Keith Mitchell,64,"2,554.0","370,328",145,"3,415","1,530"
Phil Mickelson,51,"2,553.2","278,304",109,"3,995","1,574"
Chase Seiffert,56,"2,552.6","579,438",227,"3,961","1,627"
Brendan Steele,68,"2,551.9","785,988",308,"3,921","1,665"
Matt Kuchar,56,"2,549.0","917,650",360,"3,857","1,519"
Jason Dufner,62,"2,547.0","1,118,119",439,"3,941","1,524"
Wes Roach,42,"2,544.0","312,916",123,"3,482","1,509"
Patrick Rodgers,95,"2,539.4","611,988",241,"3,878","1,545"
Ryan Brehm,52,"2,535.6","370,202",146,"3,503","1,530"
Bo Van Pelt,45,"2,534.1","610,714",241,"3,724","1,552"
Denny McCarthy,81,"2,532.6","1,000,381",395,"3,863","1,529"
Rory Sabbatini,66,"2,531.9","1,038,070",410,"3,934","1,560"
Louis Oosthuizen,48,"2,529.6","865,139",342,"3,846","1,576"
Hank Lebioda,57,"2,528.3","341,320",135,"3,899","1,580"
Matt Every,47,"2,503.8","325,500",130,"3,710","1,749"
Tom Hoge,74,"2,503.1","543,170",217,"3,357","1,676"
K.H. Lee,76,"2,500.2","512,549",205,"3,828","1,594"
Zac Blair,70,"2,499.7","964,893",386,"3,336","1,560"
"Ted Potter, Jr.",46,"2,494.8","284,403",114,"3,656","1,598"
Billy Horschel,79,"2,493.7","558,585",224,"3,560","1,773"
Matthew NeSmith,72,"2,491.1","371,172",149,"3,698","1,555"
Rob Oppenheim,65,"2,490.8","381,086",153,"3,436","1,532"
Viktor Hovland,74,"2,488.9","1,406,214",565,"3,982","1,502"
Brice Garnett,58,"2,488.6","358,365",144,"3,393","1,745"
Ian Poulter,48,"2,488.0","360,765",145,"3,523","1,593"
Xander Schauffele,70,"2,484.4","531,665",214,"3,414","1,575"
James Hahn,36,"2,483.8","387,465",156,"3,793","1,507"
Adam Long,88,"2,478.2","607,148",245,"3,912","1,534"
Jim Herman,60,"2,475.0","641,033",259,"3,321","1,597"
Martin Laird,39,"2,474.3","220,211",89,"3,675","1,631"
Vaughn Taylor,61,"2,472.7","660,217",267,"3,700","1,526"
Tyler McCumber,57,"2,471.2","397,857",161,"3,569","1,501"
Harry Higgs,83,"2,471.1","620,240",251,"3,638","1,571"
Si Woo Kim,78,"2,468.7","540,651",219,"3,890","1,842"
Zach Johnson,61,"2,467.2","836,368",339,"3,613","1,507"
Ben Taylor,44,"2,466.9","197,348",80,"3,920","1,585"
Paul Casey,56,"2,465.3","379,656",154,"3,943","1,557"
Ryan Palmer,68,"2,464.5","468,264",190,"3,821","1,690"
Ryan Armour,60,"2,463.6","812,990",330,"3,918","1,593"
Kramer Hickok,51,"2,463.3","460,645",187,"3,773","1,507"
Wyndham Clark,65,"2,462.5","359,528",146,"3,963","1,527"
Scott Brown,64,"2,458.1","403,122",164,"3,892","1,637"
Justin Rose,38,"2,456.0","682,758",278,"3,690","1,597"
Bryson DeChambeau,62,"2,455.4","709,604",289,"3,903","1,500"
Marc Leishman,61,"2,451.8","343,245",140,"3,285","1,510"
Henrik Norlander,74,"2,446.9","401,296",164,"3,605","1,611"
Fabián Gómez,59,"2,444.4","307,989",126,"3,785","1,569"
